sampleId,geneSymbol,expressionLevel
ESP002-101_C2D28_Healthy,IGHG1,5.325822
ESP002-101_C2D28_Healthy,CCNO,-2.961313
ESP002-101_C2D28_Healthy,MYC,0.882696
ESP002-101_C2D28_Healthy,CD79A,-3.041547
ESP002-101_C2D28_Healthy,FSTL3,-0.536815
ESP002-101_C2D28_Healthy,VCAN,1.6186
ESP002-101_C2D28_Healthy,CX3CL1,0.052329
ESP002-101_C2D28_Healthy,ERBB2,-0.241391
ESP002-101_C2D28_Healthy,FAM124B,-1.561175
ESP002-101_C2D28_Healthy,AKT1,1.905928
ESP002-101_C2D28_Healthy,SMAD4,7.723936
ESP002-101_C2D28_Healthy,KDR,-1.501227
ESP002-101_C2D28_Healthy,EGF,-3.084026
ESP002-101_C2D28_Healthy,MAGEA12,-3.282109
ESP002-101_C2D28_Healthy,IFNA1,-3.315214
ESP002-101_C2D28_Healthy,TGFB3,-0.062734
ESP002-101_C2D28_Healthy,MFGE8,2.216057
ESP002-101_C2D28_Healthy,CXCL2,-1.099459
ESP002-101_C2D28_Healthy,CCND2,-1.113619
ESP002-101_C2D28_Healthy,PDZK1IP1,-0.21172
ESP002-101_C2D28_Healthy,JAG2,-1.657152
ESP002-101_C2D28_Healthy,C5,-3.148423
ESP002-101_C2D28_Healthy,CD79B,-2.659575
ESP002-101_C2D28_Healthy,CXCR2,-2.194919
ESP002-101_C2D28_Healthy,PSMB10,-1.037635
ESP002-101_C2D28_Healthy,ZEB1,1.745156
ESP002-101_C2D28_Healthy,ANLN,-1.631832
ESP002-101_C2D28_Healthy,TAF3,-2.280976
ESP002-101_C2D28_Healthy,CD276,0.529636
ESP002-101_C2D28_Healthy,ICAM1,-0.478148
ESP002-101_C2D28_Healthy,IL16,0.389184
ESP002-101_C2D28_Healthy,CXCL3,-2.555674
ESP002-101_C2D28_Healthy,PRR5,-1.877602
ESP002-101_C2D28_Healthy,CTSW,-4.161306
ESP002-101_C2D28_Healthy,CXCR4,-3.857575
ESP002-101_C2D28_Healthy,IFNGR2,1.771307
ESP002-101_C2D28_Healthy,CDH11,0.372004
ESP002-101_C2D28_Healthy,COL6A3,2.102139
ESP002-101_C2D28_Healthy,GZMK,-1.599955
ESP002-101_C2D28_Healthy,IRF2,0.48439
ESP002-101_C2D28_Healthy,RPL7A,6.205067
ESP002-101_C2D28_Healthy,GPR160,-2.407829
ESP002-101_C2D28_Healthy,MICA,-0.193854
ESP002-101_C2D28_Healthy,TAPBPL,-0.862879
ESP002-101_C2D28_Healthy,LCP1,8.049914
ESP002-101_C2D28_Healthy,CXCL14,5.615795
ESP002-101_C2D28_Healthy,CD14,0.218734
ESP002-101_C2D28_Healthy,IL18,1.81967
ESP002-101_C2D28_Healthy,CLEC14A,-0.204657
ESP002-101_C2D28_Healthy,HMGB1,-0.287839
ESP002-101_C2D28_Healthy,KIF2C,-2.547846
ESP002-101_C2D28_Healthy,DNMT3A,6.984131
ESP002-101_C2D28_Healthy,RNLS,-2.224166
ESP002-101_C2D28_Healthy,RPTOR,-0.633716
ESP002-101_C2D28_Healthy,CD68,-1.173567
ESP002-101_C2D28_Healthy,CCL13,1.116771
ESP002-101_C2D28_Healthy,CYBB,0.225208
ESP002-101_C2D28_Healthy,PLA2G2A,-2.063675
ESP002-101_C2D28_Healthy,FGF13,-1.506673
ESP002-101_C2D28_Healthy,CNTFR,-1.742158
ESP002-101_C2D28_Healthy,CD244,-2.817147
ESP002-101_C2D28_Healthy,CSF2RB,-1.50698
ESP002-101_C2D28_Healthy,MAP3K7,0.267314
ESP002-101_C2D28_Healthy,FASLG,-1.793797
ESP002-101_C2D28_Healthy,CD209,-1.097852
ESP002-101_C2D28_Healthy,IRF7,-2.493672
ESP002-101_C2D28_Healthy,PTCD2,-2.21172
ESP002-101_C2D28_Healthy,PIK3R2,-0.227154
ESP002-101_C2D28_Healthy,ULBP6(RAET1L),4.541187
ESP002-101_C2D28_Healthy,LILRA5,-3.880722
ESP002-101_C2D28_Healthy,IL32,-0.239554
ESP002-101_C2D28_Healthy,CCND3,-0.994103
ESP002-101_C2D28_Healthy,BIRC5,0.175837
ESP002-101_C2D28_Healthy,LGALS9,-1.067861
ESP002-101_C2D28_Healthy,RASAL1,-2.63489
ESP002-101_C2D28_Healthy,PDCD1LG2,-1.900049
ESP002-101_C2D28_Healthy,IL11,-1.463814
ESP002-101_C2D28_Healthy,PRKX,-2.860261
ESP002-101_C2D28_Healthy,SNCA,-1.411284
ESP002-101_C2D28_Healthy,ADGRE1,-3.408694
ESP002-101_C2D28_Healthy,IL1F7,7.58843
ESP002-101_C2D28_Healthy,PSMB9,0.555713
ESP002-101_C2D28_Healthy,RUNX3,-2.590841
ESP002-101_C2D28_Healthy,PGPEP1,-1.416882
ESP002-101_C2D28_Healthy,MELK,-1.239356
ESP002-101_C2D28_Healthy,ISG15,-1.803273
ESP002-101_C2D28_Healthy,EIF2B4,-1.816571
ESP002-101_C2D28_Healthy,IRF9,-0.168267
ESP002-101_C2D28_Healthy,IL1A,-2.257816
ESP002-101_C2D28_Healthy,FCRL2,-4.446235
ESP002-101_C2D28_Healthy,EIF4EBP1,-0.887974
ESP002-101_C2D28_Healthy,LTBP1,0.889269
ESP002-101_C2D28_Healthy,CD40LG,-2.342197
ESP002-101_C2D28_Healthy,HEY1,-2.311256
ESP002-101_C2D28_Healthy,HLA-DQA1,0.932774
ESP002-101_C2D28_Healthy,PRLR,-2.640028
ESP002-101_C2D28_Healthy,TNFRSF11A,-2.034027
ESP002-101_C2D28_Healthy,AREG,-2.261252
ESP002-101_C2D28_Healthy,BBC3,-0.450351
ESP002-101_C2D28_Healthy,EDN1,-0.861778
ESP002-101_C2D28_Healthy,PARP12,-1.397412
ESP002-101_C2D28_Healthy,PIK3CG,-1.983149
ESP002-101_C2D28_Healthy,IL4,-4.322311
ESP002-101_C2D28_Healthy,F2RL1,-0.64644
ESP002-101_C2D28_Healthy,CXCL6,-3.181684
ESP002-101_C2D28_Healthy,TNFSF18,-3.138554
ESP002-101_C2D28_Healthy,JAK3,-1.542388
ESP002-101_C2D28_Healthy,NKG7,-0.827679
ESP002-101_C2D28_Healthy,TAPBP,0.859892
ESP002-101_C2D28_Healthy,MTOR,0.111982
ESP002-101_C2D28_Healthy,SELP,-1.066308
ESP002-101_C2D28_Healthy,HLA-E,3.202795
ESP002-101_C2D28_Healthy,GOT1,-1.097101
ESP002-101_C2D28_Healthy,SMAP1,0.652643
ESP002-101_C2D28_Healthy,CDKN1A,0.184417
ESP002-101_C2D28_Healthy,CD45RA,-3.48965
ESP002-101_C2D28_Healthy,HNF1A,-1.531629
ESP002-101_C2D28_Healthy,TICAM1,-1.335581
ESP002-101_C2D28_Healthy,C1QA,0.439775
ESP002-101_C2D28_Healthy,CD86,-2.835011
ESP002-101_C2D28_Healthy,ITGA4,-1.297877
ESP002-101_C2D28_Healthy,ROR2,-0.332528
ESP002-101_C2D28_Healthy,WNT7B,-1.30235
ESP002-101_C2D28_Healthy,FLT1,-1.028556
ESP002-101_C2D28_Healthy,CTAG1B,-4.562683
ESP002-101_C2D28_Healthy,CLEC7A,-2.615726
ESP002-101_C2D28_Healthy,TNFRSF4,-2.272696
ESP002-101_C2D28_Healthy,MS4A6A,-1.562863
ESP002-101_C2D28_Healthy,ZNF385A,7.12615
ESP002-101_C2D28_Healthy,ANGPT2,-2.400024
ESP002-101_C2D28_Healthy,APH1B,-1.891772
ESP002-101_C2D28_Healthy,RORC,-0.204496
ESP002-101_C2D28_Healthy,GSK3A,6.848616
ESP002-101_C2D28_Healthy,NECTIN2,0.468092
ESP002-101_C2D28_Healthy,DPP4,0.735916
ESP002-101_C2D28_Healthy,CCL2,1.515175
ESP002-101_C2D28_Healthy,HCST,5.853131
ESP002-101_C2D28_Healthy,NF1,0.360314
ESP002-101_C2D28_Healthy,ULBP4(RAET1E),6.761738
ESP002-101_C2D28_Healthy,S100A9,-1.364367
ESP002-101_C2D28_Healthy,NFKBIA,3.360414
ESP002-101_C2D28_Healthy,BNIP3L,2.122694
ESP002-101_C2D28_Healthy,CST2,-2.841282
ESP002-101_C2D28_Healthy,APOL6,0.519686
ESP002-101_C2D28_Healthy,SYCP1,3.431004
ESP002-101_C2D28_Healthy,LEF1,4.225685
ESP002-101_C2D28_Healthy,BRD4,0.866983
ESP002-101_C2D28_Healthy,SLC16A1,-1.224053
ESP002-101_C2D28_Healthy,THBD,-1.349902
ESP002-101_C2D28_Healthy,TIGIT,-2.327699
ESP002-101_C2D28_Healthy,VSIR,-1.170767
ESP002-101_C2D28_Healthy,TRIM21,-1.346338
ESP002-101_C2D28_Healthy,NBN,-0.084303
ESP002-101_C2D28_Healthy,WNT4,-1.857477
ESP002-101_C2D28_Healthy,CXCL8,-1.20424
ESP002-101_C2D28_Healthy,FGF9,-2.73266
ESP002-101_C2D28_Healthy,C5AR1,-3.081136
ESP002-101_C2D28_Healthy,TNFRSF1B,-0.685493
ESP002-101_C2D28_Healthy,HLA-DRB5,-2.884145
ESP002-101_C2D28_Healthy,GLUL,3.12096
ESP002-101_C2D28_Healthy,LY9,-1.815298
ESP002-101_C2D28_Healthy,TAP1,1.446712
ESP002-101_C2D28_Healthy,IFIH1,-0.614167
ESP002-101_C2D28_Healthy,DEPTOR,-0.042022
ESP002-101_C2D28_Healthy,CSF1R,1.321061
ESP002-101_C2D28_Healthy,MARCO,0.446826
ESP002-101_C2D28_Healthy,NFIL3,-1.311971
ESP002-101_C2D28_Healthy,IKBKG,-1.410878
ESP002-101_C2D28_Healthy,CD58,-0.476339
ESP002-101_C2D28_Healthy,STAT5A,6.909892
ESP002-101_C2D28_Healthy,LOXL2,-1.396416
ESP002-101_C2D28_Healthy,SPRY4,-3.110662
ESP002-101_C2D28_Healthy,NFAM1,-3.417435
ESP002-101_C2D28_Healthy,SYK,-1.228467
ESP002-101_C2D28_Healthy,COMP,-1.491012
ESP002-101_C2D28_Healthy,IFI6,-1.248246
ESP002-101_C2D28_Healthy,RASGRF1,-5.931842
ESP002-101_C2D28_Healthy,HDAC5,0.127732
ESP002-101_C2D28_Healthy,BAMBI,-1.892761
ESP002-101_C2D28_Healthy,MAGEC1,-3.267803
ESP002-101_C2D28_Healthy,FYN,0.422987
ESP002-101_C2D28_Healthy,TNFSF4,-2.997627
ESP002-101_C2D28_Healthy,CD274,-3.928092
ESP002-101_C2D28_Healthy,PRKACB,-0.445827
ESP002-101_C2D28_Healthy,IFIT2,-3.643072
ESP002-101_C2D28_Healthy,BRWD1,7.533114
ESP002-101_C2D28_Healthy,PPARG,-0.967899
ESP002-101_C2D28_Healthy,FYB1,6.374077
ESP002-101_C2D28_Healthy,PTEN,0.602588
ESP002-101_C2D28_Healthy,FOXP3,-4.068607
ESP002-101_C2D28_Healthy,SREBF1,-2.353799
ESP002-101_C2D28_Healthy,CD36,0.957423
ESP002-101_C2D28_Healthy,AXIN1,-0.592669
ESP002-101_C2D28_Healthy,KLRK1,-2.377166
ESP002-101_C2D28_Healthy,GBP1,-0.334648
ESP002-101_C2D28_Healthy,CXCL11,-2.239908
ESP002-101_C2D28_Healthy,CXCL10,-2.427416
ESP002-101_C2D28_Healthy,RIPK1,-0.870939
ESP002-101_C2D28_Healthy,MMP12,4.566722
ESP002-101_C2D28_Healthy,REN,-4.132024
ESP002-101_C2D28_Healthy,PRF1,-3.194275
ESP002-101_C2D28_Healthy,EIF2AK2,-0.388557
ESP002-101_C2D28_Healthy,LIF,-2.16745
ESP002-101_C2D28_Healthy,BRD3,0.399794
ESP002-101_C2D28_Healthy,IGF2R,-0.243084
ESP002-101_C2D28_Healthy,FPR1,-2.762819
ESP002-101_C2D28_Healthy,DUSP5,-2.561818
ESP002-101_C2D28_Healthy,APC,0.469803
ESP002-101_C2D28_Healthy,HDAC3,-1.505149
ESP002-101_C2D28_Healthy,CES3,-1.686104
ESP002-101_C2D28_Healthy,OAS2,-1.94956
ESP002-101_C2D28_Healthy,HDAC11,-2.016808
ESP002-101_C2D28_Healthy,THBS1,1.107354
ESP002-101_C2D28_Healthy,SLC11A1,-2.792272
ESP002-101_C2D28_Healthy,MAGEA3/A6,-3.581209
ESP002-101_C2D28_Healthy,ARID1A,0.512938
ESP002-101_C2D28_Healthy,CD48,-1.051612
ESP002-101_C2D28_Healthy,GZMA,-1.288888
ESP002-101_C2D28_Healthy,ICOSLG,-2.746022
ESP002-101_C2D28_Healthy,PIK3R5,-3.466619
ESP002-101_C2D28_Healthy,GZMM,-3.432526
ESP002-101_C2D28_Healthy,WNT5A,-1.949478
ESP002-101_C2D28_Healthy,TLR4,-1.284372
ESP002-101_C2D28_Healthy,GZMB,-2.458813
ESP002-101_C2D28_Healthy,PARP9,-0.453795
ESP002-101_C2D28_Healthy,LY96,-0.784917
ESP002-101_C2D28_Healthy,RAD50,-0.198067
ESP002-101_C2D28_Healthy,MX1,-0.622043
ESP002-101_C2D28_Healthy,CENPF,-3.020207
ESP002-101_C2D28_Healthy,SELL,-3.216995
ESP002-101_C2D28_Healthy,TNFSF10,1.601434
ESP002-101_C2D28_Healthy,LRG1,4.431004
ESP002-101_C2D28_Healthy,IL12RB2,-1.913754
ESP002-101_C2D28_Healthy,CXCL9,-3.117664
ESP002-101_C2D28_Healthy,TRAT1,-2.468797
ESP002-101_C2D28_Healthy,STC1,-3.607054
ESP002-101_C2D28_Healthy,IL2RB,-3.970126
ESP002-101_C2D28_Healthy,LILRB4,-1.511924
ESP002-101_C2D28_Healthy,SOX2,-3.230229
ESP002-101_C2D28_Healthy,HCK,-1.112373
ESP002-101_C2D28_Healthy,WNT2B,-0.849603
ESP002-101_C2D28_Healthy,IL1B,-4.005422
ESP002-101_C2D28_Healthy,TLR1,-2.903598
ESP002-101_C2D28_Healthy,NKp44(NCR2),3.225685
ESP002-101_C2D28_Healthy,CCL22,-2.255393
ESP002-101_C2D28_Healthy,ICAM2,-2.508056
ESP002-101_C2D28_Healthy,MAP3K12,-2.249533
ESP002-101_C2D28_Healthy,JAG1,1.891354
ESP002-101_C2D28_Healthy,CCL3/L1,-1.160622
ESP002-101_C2D28_Healthy,SOCS1,-1.063989
ESP002-101_C2D28_Healthy,BCL2,-0.231172
ESP002-101_C2D28_Healthy,MAP3K8,-0.691663
ESP002-101_C2D28_Healthy,MMP1,-5.878773
ESP002-101_C2D28_Healthy,CMKLR1,-1.043411
ESP002-101_C2D28_Healthy,MAF,8.059035
ESP002-101_C2D28_Healthy,NKG2A(KLRC1),5.000619
ESP002-101_C2D28_Healthy,TNFRSF17,-4.792714
ESP002-101_C2D28_Healthy,TLR8,-2.279701
ESP002-101_C2D28_Healthy,TPM1,3.566444
ESP002-101_C2D28_Healthy,CXorf36,-1.179938
ESP002-101_C2D28_Healthy,NLRP3,-3.826495
ESP002-101_C2D28_Healthy,DEFB134,-4.00485
ESP002-101_C2D28_Healthy,HLA-DQA2,-0.509992
ESP002-101_C2D28_Healthy,IGHM,3.903757
ESP002-101_C2D28_Healthy,CX3CR1,-2.117553
ESP002-101_C2D28_Healthy,APLNR,-1.996247
ESP002-101_C2D28_Healthy,MXI1,-0.868537
ESP002-101_C2D28_Healthy,FZD9,-3.437364
ESP002-101_C2D28_Healthy,COL4A5,-0.710111
ESP002-101_C2D28_Healthy,FCAR,-3.819294
ESP002-101_C2D28_Healthy,BRCA2,-3.312048
ESP002-101_C2D28_Healthy,SFRP4,-1.308293
ESP002-101_C2D28_Healthy,TLR3,0.216662
ESP002-101_C2D28_Healthy,IL2RG,-3.089494
ESP002-101_C2D28_Healthy,CD84,-0.635239
ESP002-101_C2D28_Healthy,HLA-DPA1,1.580488
ESP002-101_C2D28_Healthy,RBL2,0.967142
ESP002-101_C2D28_Healthy,CCL18,-1.879145
ESP002-101_C2D28_Healthy,IRF3,-0.152096
ESP002-101_C2D28_Healthy,TNFRSF8,-2.953208
ESP002-101_C2D28_Healthy,KIR3DL2,-3.550983
ESP002-101_C2D28_Healthy,TNFSF13,-1.340976
ESP002-101_C2D28_Healthy,CLECL1,-4.313335
ESP002-101_C2D28_Healthy,TNFRSF10B,-0.082122
ESP002-101_C2D28_Healthy,MAGEC2,-4.845394
ESP002-101_C2D28_Healthy,CDKN2A,-0.934303
ESP002-101_C2D28_Healthy,ADM,-0.435127
ESP002-101_C2D28_Healthy,PNOC,-2.452118
ESP002-101_C2D28_Healthy,CD247,-1.385749
ESP002-101_C2D28_Healthy,PTPRC,0.044761
ESP002-101_C2D28_Healthy,OAS3,-1.267258
ESP002-101_C2D28_Healthy,LAG3,-3.56915
ESP002-101_C2D28_Healthy,FOSL1,-3.057674
ESP002-101_C2D28_Healthy,EOMES,-2.962884
ESP002-101_C2D28_Healthy,IL10RA,-1.957869
ESP002-101_C2D28_Healthy,WDR76,-2.380203
ESP002-101_C2D28_Healthy,GPC4,-1.747226
ESP002-101_C2D28_Healthy,GTSF1,3.848616
ESP002-101_C2D28_Healthy,SLAMF7,-3.89833
ESP002-101_C2D28_Healthy,RSAD2,-2.428439
ESP002-101_C2D28_Healthy,TLR5,-2.127191
ESP002-101_C2D28_Healthy,VEGFA,-0.976212
ESP002-101_C2D28_Healthy,ULBP3,4.357475
ESP002-101_C2D28_Healthy,COL5A1,1.521141
ESP002-101_C2D28_Healthy,CD3D,-1.444166
ESP002-101_C2D28_Healthy,FBP1,-1.127792
ESP002-101_C2D28_Healthy,ERO1A,-0.791388
ESP002-101_C2D28_Healthy,CCL21,2.482098
ESP002-101_C2D28_Healthy,E2F3,-1.54837
ESP002-101_C2D28_Healthy,LDHA,3.307062
ESP002-101_C2D28_Healthy,MS4A1,-1.577503
ESP002-101_C2D28_Healthy,CD69,-1.375386
ESP002-101_C2D28_Healthy,SERPINB5,0.94255
ESP002-101_C2D28_Healthy,FAP,-0.976125
ESP002-101_C2D28_Healthy,ITGA2,0.352943
ESP002-101_C2D28_Healthy,SIGLEC5,-2.577985
ESP002-101_C2D28_Healthy,SIRPB2,-1.925512
ESP002-101_C2D28_Healthy,EPM2AIP1,0.4185
ESP002-101_C2D28_Healthy,FGF18,-1.733673
ESP002-101_C2D28_Healthy,HRAS,0.631113
ESP002-101_C2D28_Healthy,CCND1,2.173645
ESP002-101_C2D28_Healthy,LAMB3,0.057437
ESP002-101_C2D28_Healthy,IL26,3.836643
ESP002-101_C2D28_Healthy,ID4,1.880248
ESP002-101_C2D28_Healthy,ITK,5.064749
ESP002-101_C2D28_Healthy,CCL4,-2.074613
ESP002-101_C2D28_Healthy,GZMH,-2.557877
ESP002-101_C2D28_Healthy,API5,1.639615
ESP002-101_C2D28_Healthy,PTGER4,-0.447842
ESP002-101_C2D28_Healthy,ITGB8,-0.913135
ESP002-101_C2D28_Healthy,TNKS,-0.820451
ESP002-101_C2D28_Healthy,CEACAM1,6.12615
ESP002-101_C2D28_Healthy,B2M,5.038981
ESP002-101_C2D28_Healthy,TP53,0.885809
ESP002-101_C2D28_Healthy,MAGEB2,-2.839635
ESP002-101_C2D28_Healthy,LYZ,2.094441
ESP002-101_C2D28_Healthy,NCAM1,-1.858743
ESP002-101_C2D28_Healthy,TCL1A,-3.798003
ESP002-101_C2D28_Healthy,HDC,-2.232135
ESP002-101_C2D28_Healthy,CD27,-3.063734
ESP002-101_C2D28_Healthy,SBNO2,0.804222
ESP002-101_C2D28_Healthy,PECAM1,0.868794
ESP002-101_C2D28_Healthy,SERPINH1,0.196873
ESP002-101_C2D28_Healthy,SPP1,-3.611717
ESP002-101_C2D28_Healthy,EGFR,0.39336
ESP002-101_C2D28_Healthy,CASP8,-1.506347
ESP002-101_C2D28_Healthy,CCNA1,-5.639827
ESP002-101_C2D28_Healthy,TNFAIP3,-1.060263
ESP002-101_C2D28_Healthy,CDC25C,-4.432271
ESP002-101_C2D28_Healthy,CXCR6,-2.840686
ESP002-101_C2D28_Healthy,DLL1,-0.93823
ESP002-101_C2D28_Healthy,OAS1,-0.350107
ESP002-101_C2D28_Healthy,HLA-DQB1,-0.078468
ESP002-101_C2D28_Healthy,ROBO4,-2.240589
ESP002-101_C2D28_Healthy,NFKB1,0.319489
ESP002-101_C2D28_Healthy,IFI27,1.332826
ESP002-101_C2D28_Healthy,ULBP1,3.711112
ESP002-101_C2D28_Healthy,HLA-DMB,-1.411507
ESP002-101_C2D28_Healthy,CDKN1C,-0.927324
ESP002-101_C2D28_Healthy,CEP55,-1.891502
ESP002-101_C2D28_Healthy,ARG1,-1.194776
ESP002-101_C2D28_Healthy,PLOD2,-2.797079
ESP002-101_C2D28_Healthy,LAIR1,-1.484629
ESP002-101_C2D28_Healthy,SHC2,-1.274228
ESP002-101_C2D28_Healthy,STAT3,1.518014
ESP002-101_C2D28_Healthy,CCL17,5.151685
ESP002-101_C2D28_Healthy,CD45RO,-0.771913
ESP002-101_C2D28_Healthy,CD2,-1.529679
ESP002-101_C2D28_Healthy,IL7R,-3.583509
ESP002-101_C2D28_Healthy,FLNB,1.650929
ESP002-101_C2D28_Healthy,PSMB5,1.248446
ESP002-101_C2D28_Healthy,SLC1A5,0.407737
ESP002-101_C2D28_Healthy,RICTOR,0.626332
ESP002-101_C2D28_Healthy,ZAP70,-2.467553
ESP002-101_C2D28_Healthy,TNFAIP6,-2.113316
ESP002-101_C2D28_Healthy,BTLA,-2.954224
ESP002-101_C2D28_Healthy,RELA,0.160583
ESP002-101_C2D28_Healthy,STAT5B,6.213612
ESP002-101_C2D28_Healthy,MMP7,-0.946504
ESP002-101_C2D28_Healthy,TCF3,-0.620276
ESP002-101_C2D28_Healthy,IRF8,-1.551505
ESP002-101_C2D28_Healthy,NOS2,-2.496948
ESP002-101_C2D28_Healthy,A2M,1.690051
ESP002-101_C2D28_Healthy,CCL20,-3.011695
ESP002-101_C2D28_Healthy,MKI67,-2.693047
ESP002-101_C2D28_Healthy,IFNGR1,1.716457
ESP002-101_C2D28_Healthy,INHBA,-2.904824
ESP002-101_C2D28_Healthy,WNT5B,-2.628738
ESP002-101_C2D28_Healthy,CXCL5,-2.154621
ESP002-101_C2D28_Healthy,SOX10,-1.206047
ESP002-101_C2D28_Healthy,EGR1,1.011638
ESP002-101_C2D28_Healthy,STAT4,-2.818535
ESP002-101_C2D28_Healthy,IFIT3,-1.101386
ESP002-101_C2D28_Healthy,GMIP,-2.841557
ESP002-101_C2D28_Healthy,ARNT2,-2.254672
ESP002-101_C2D28_Healthy,UBE2C,-2.724558
ESP002-101_C2D28_Healthy,IKZF1,6.815449
ESP002-101_C2D28_Healthy,CHUK,0.217374
ESP002-101_C2D28_Healthy,T3JAM,5.225685
ESP002-101_C2D28_Healthy,GHR,-1.494947
ESP002-101_C2D28_Healthy,TPI1,2.11328
ESP002-101_C2D28_Healthy,HAVCR2,-2.937441
ESP002-101_C2D28_Healthy,GOT2,-0.960864
ESP002-101_C2D28_Healthy,PIK3CA,-0.145505
ESP002-101_C2D28_Healthy,TNFSF9,-0.699693
ESP002-101_C2D28_Healthy,IDO1,-3.285879
ESP002-101_C2D28_Healthy,APOE,3.007935
ESP002-101_C2D28_Healthy,AICDA,4.063414
ESP002-101_C2D28_Healthy,LILRB2,-0.673552
ESP002-101_C2D28_Healthy,PARP4,0.408335
ESP002-101_C2D28_Healthy,PFKM,-0.595101
ESP002-101_C2D28_Healthy,THY1,0.869521
ESP002-101_C2D28_Healthy,SAMD9,-0.4523
ESP002-101_C2D28_Healthy,TGFB1,1.037421
ESP002-101_C2D28_Healthy,FCGR3A,3.101059
ESP002-101_C2D28_Healthy,CD8A,-1.811796
ESP002-101_C2D28_Healthy,SELE,-0.647575
ESP002-101_C2D28_Healthy,CDKN2B,-1.058836
ESP002-101_C2D28_Healthy,CD5,-1.857984
ESP002-101_C2D28_Healthy,HLA-A,-0.729988
ESP002-101_C2D28_Healthy,FZD8,-2.834925
ESP002-101_C2D28_Healthy,BCL2L1,-0.23642
ESP002-101_C2D28_Healthy,TNFRSF9,-1.564712
ESP002-101_C2D28_Healthy,XCL1/2,-1.096243
ESP002-101_C2D28_Healthy,MAGEA4,-1.951488
ESP002-101_C2D28_Healthy,PMS2,-1.010841
ESP002-101_C2D28_Healthy,KLRD1,-2.755474
ESP002-101_C2D28_Healthy,NFATC2,-0.365858
ESP002-101_C2D28_Healthy,VEGFB,0.854476
ESP002-101_C2D28_Healthy,CDC20,-1.377199
ESP002-101_C2D28_Healthy,OTOA,-2.259909
ESP002-101_C2D28_Healthy,TPSAB1/B2,4.459095
ESP002-101_C2D28_Healthy,P4HA1,0.487289
ESP002-101_C2D28_Healthy,P2RY13,-0.833487
ESP002-101_C2D28_Healthy,EXO1,-3.106511
ESP002-101_C2D28_Healthy,CD70,-2.654696
ESP002-101_C2D28_Healthy,DDB2,1.691545
ESP002-101_C2D28_Healthy,NDUFA4L2,0.165237
ESP002-101_C2D28_Healthy,IFITM1,1.326743
ESP002-101_C2D28_Healthy,IFNAR1,0.879039
ESP002-101_C2D28_Healthy,TREM1,-1.52538
ESP002-101_C2D28_Healthy,CXCL13,-2.001169
ESP002-101_C2D28_Healthy,IL22,4.406258
ESP002-101_C2D28_Healthy,TWIST2,-1.348812
ESP002-101_C2D28_Healthy,HLA-DRB1,2.706165
ESP002-101_C2D28_Healthy,FGFR1,0.478736
ESP002-101_C2D28_Healthy,TBXAS1,-0.376351
ESP002-101_C2D28_Healthy,NCR1,-1.549415
ESP002-101_C2D28_Healthy,SOX11,-1.921018
ESP002-101_C2D28_Healthy,TLR2,-0.753434
ESP002-101_C2D28_Healthy,TWF1,0.886525
ESP002-101_C2D28_Healthy,CCL5,-0.948055
ESP002-101_C2D28_Healthy,ITGAL,-2.68911
ESP002-101_C2D28_Healthy,MYCT1,-1.122682
ESP002-101_C2D28_Healthy,CD96,-2.990194
ESP002-101_C2D28_Healthy,PROM1,-0.309547
ESP002-101_C2D28_Healthy,OASL,-1.82622
ESP002-101_C2D28_Healthy,IFNG,-2.065869
ESP002-101_C2D28_Healthy,BATF3,-1.764621
ESP002-101_C2D28_Healthy,EZH2,-0.312561
ESP002-101_C2D28_Healthy,IRF5,-1.290557
ESP002-101_C2D28_Healthy,PCK2,-0.25632
ESP002-101_C2D28_Healthy,EPCAM,-1.343842
ESP002-101_C2D28_Healthy,CD19,-2.600169
ESP002-101_C2D28_Healthy,GBP4,-0.298517
ESP002-101_C2D28_Healthy,MSH6,-0.184878
ESP002-101_C2D28_Healthy,TNFRSF11B,-0.954562
ESP002-101_C2D28_Healthy,NOTCH1,-0.494871
ESP002-101_C2D28_Healthy,CASP9,-0.809596
ESP002-101_C2D28_Healthy,RAD51C,-1.091081
ESP002-101_C2D28_Healthy,HLA-DMA,1.072283
ESP002-101_C2D28_Healthy,SFRP1,1.262211
ESP002-101_C2D28_Healthy,MAGEA1,-2.450776
ESP002-101_C2D28_Healthy,ENTPD1,0.242116
ESP002-101_C2D28_Healthy,ROCK1,0.68344
ESP002-101_C2D28_Healthy,FCGR2A,-1.419755
ESP002-101_C2D28_Healthy,NGFR,0.410453
ESP002-101_C2D28_Healthy,ALDOC,-0.491162
ESP002-101_C2D28_Healthy,CCNE1,-2.183032
ESP002-101_C2D28_Healthy,ITGAX,-0.568996
ESP002-101_C2D28_Healthy,BLM,-0.797814
ESP002-101_C2D28_Healthy,MLANA,-1.569143
ESP002-101_C2D28_Healthy,JCHAIN,5.098135
ESP002-101_C2D28_Healthy,FCGR1A,-1.345882
ESP002-101_C2D28_Healthy,CD47,2.244656
ESP002-101_C2D28_Healthy,CSF2,-1.045444
ESP002-101_C2D28_Healthy,CDH5,-1.177989
ESP002-101_C2D28_Healthy,SLC7A5,-1.805573
ESP002-101_C2D28_Healthy,GIMAP4,0.216621
ESP002-101_C2D28_Healthy,HIF1A,1.104003
ESP002-101_C2D28_Healthy,CDK2,-0.467616
ESP002-101_C2D28_Healthy,PDCD1,-2.071067
